sentiment,importance,category,affected_tickers,original_index,publish_date
-0.5,7,"['геополитика', 'финансы']",[],6779,2021-04-14 09:40:00
0.5,7,"['финансы', 'компания']",['VTBR'],20493,2024-01-30 15:15:00
0.7,7,"['компания', 'отчётность/доходы', 'финансы']",['GMKN'],2854,2020-07-30 11:40:00
0.5,7,"['финансы', 'продукт/контракты/инновации']",['VTBR'],24422,2025-04-29 11:35:00
0.7,7,"['финансы', 'компания']","['PLZL', 'VTBR']",10701,2021-10-07 11:00:00
0.2,6,"['компания', 'сектор', 'геополитика']",['GAZP'],14619,2022-04-03 19:05:40
-0.5,8,"['регуляция', 'геополитика', 'сектор']",['GAZP'],10693,2021-10-06 20:52:05
-0.5,7,"['компания', 'финансы', 'конкуренция/рыночная доля']","['GAZP', 'GMKN', 'SBER', 'MAGN']",10703,2021-10-07 11:30:00
0.2,7,"['дивиденды', 'сектор', 'компания']",[],20485,2024-01-29 16:05:15
0.3,6,"['компания', 'отчётность/доходы', 'конкуренция/рыночная доля']",['MGNT'],2856,2020-07-30 11:50:00
0.7,8,"['дивиденды', 'компания']",['LKOH'],20488,2024-01-30 02:03:39
-0.3,6,"['отчётность/доходы', 'компания']",['T'],20495,2024-01-31 02:05:23
-0.5,7,"['компания', 'дивиденды', 'финансы', 'геополитика']","['GAZP', 'VTBR']",24419,2025-04-29 09:50:00
0.5,7,"['компания', 'отчётность/доходы', 'рейтинги/аналитика']",['LUMN'],24409,2025-04-28 18:10:50
0.5,7,"['дивиденды', 'компания']",['ROSN'],10697,2021-10-07 09:45:00
0.5,7,"['компания', 'сектор', 'геополитика', 'санкции']","['NVTK', 'GAZP']",14625,2022-04-04 10:35:00
-0.7,8,"['макроэкономика', 'сектор', 'регуляция', 'отчётность/доходы']","['SBER', 'VTBR']",14627,2022-04-04 13:45:00
0.2,7,"['компания', 'отчётность/доходы', 'дивиденды']",['NVTK'],2846,2020-07-30 10:10:00
-0.5,7,"['регуляция', 'конкуренция/рыночная доля', 'судебные/регуляторные/санкции']",['MOEX'],6771,2021-04-13 20:00:03
0.5,7,"['компания', 'события/форс-мажор', 'менеджмент/кадровые изменения']",['MOEX'],6780,2021-04-14 09:40:00
0.7,8,"['дивиденды', 'компания', 'сектор']","['SBER', 'LKOH', 'VTBR']",24418,2025-04-29 09:40:00
0.7,8,"['компания', 'финансы', 'продукт/контракты/инновации']",['SBER'],10695,2021-10-07 09:09:28
